ID,AGE,GENDER,RACE,DRIVING_EXPERIENCE,EDUCATION,INCOME,CREDIT_SCORE,VEHICLE_OWNERSHIP,VEHICLE_YEAR,MARRIED,CHILDREN,POSTAL_CODE,ANNUAL_MILEAGE,VEHICLE_TYPE,SPEEDING_VIOLATIONS,DUIS,PAST_ACCIDENTS,OUTCOME
407453,2,0,0,0,2,2,0.750865139315268,1,1,0,0,10238,0.002486210617670396,0,0,0,0,0
367026,2,0,1,1,0,3,0.12666647694034183,1,1,1,1,10238,-0.26156547369166305,0,0,0,0,0
334687,2,0,1,0,2,0,-0.6811684188458472,1,1,0,0,10238,1.2537887266632812,0,0,0,0,1
623367,3,1,0,2,2,2,1.3067404397409985,1,1,1,1,32765,-2.5345967742240796,0,4,1,4,0
688440,3,1,0,1,2,2,1.3657632792746206,1,1,1,1,10238,-0.6404040237803992,0,2,0,0,0
547974,3,1,0,2,0,2,0.6296098403630369,0,1,1,1,10238,0.11727307639707303,0,2,1,7,1
989064,1,1,0,0,1,1,-1.427237774802845,0,0,1,1,10238,0.11727307639707303,0,0,0,0,1
422816,2,1,0,2,0,3,-0.0030433877364575575,1,1,0,0,10238,0.11727307639707303,0,5,0,7,0
307408,1,0,1,1,1,3,-0.0030433877364575575,1,1,0,1,10238,-1.0192425738691353,0,2,0,0,0
675898,0,1,0,0,0,0,-0.060848969071643645,1,1,0,1,10238,1.6326272767520174,0,0,0,0,0
480452,1,0,0,0,2,2,1.9086717415402084,1,1,1,1,10238,0.11727307639707303,0,0,0,0,0
93199,2,0,0,0,2,0,-0.297867499404515,1,0,1,1,10238,0.8749501765745452,0,0,0,0,0
125802,2,0,0,2,2,2,1.2704607260544292,1,1,1,1,10238,-0.6404040237803992,0,0,0,1,0
616663,2,1,0,0,2,2,-0.37763579570587574,1,0,0,0,10238,1.6326272767520174,0,0,0,0,0
423497,0,0,0,0,0,3,-0.9395737217347072,1,1,0,0,10238,1.6326272767520174,0,0,0,0,1
492837,2,0,0,1,2,2,1.1151610688165192,1,0,1,1,10238,0.8749501765745452,0,0,0,0,0
422563,2,1,0,2,2,2,1.1469350277116774,0,1,0,1,10238,0.8749501765745452,0,2,0,1,0
185231,0,0,0,0,0,0,0.34306526081010086,1,1,0,1,10238,-0.26156547369166305,0,0,0,0,0
949152,1,0,0,1,2,2,1.7647064822741685,0,0,0,0,32765,-1.0192425738691353,0,0,0,0,0
859453,1,1,0,1,2,0,0.12599688422460784,1,1,1,1,10238,0.49611162648580914,0,1,0,2,0
466578,1,0,0,1,0,0,0.08113709003668335,1,0,0,1,10238,0.8749501765745452,0,0,0,0,0
998214,0,0,1,0,1,1,-0.7987780188822075,0,1,0,0,10238,0.8749501765745452,0,0,0,0,1
828462,2,1,0,2,0,3,-0.9938957549564308,0,1,0,1,10238,1.6326272767520174,0,0,0,6,0
511837,3,1,0,1,0,0,0.2601026263283684,1,1,1,1,32765,-1.0192425738691353,0,3,1,1,0
554995,0,1,0,0,2,2,0.5322341949601933,1,1,1,1,10238,0.11727307639707303,1,0,0,0,1
680717,3,1,0,3,1,0,0.6353761548684107,1,1,1,1,10238,0.8749501765745452,0,6,1,3,0
978021,2,1,0,2,2,2,0.6655245715135015,1,0,1,1,10238,-1.7769196740466076,0,4,0,6,0
509815,1,0,0,0,0,3,-0.036576541069946525,1,0,1,1,32765,0.002486210617670396,0,0,0,0,0
6676,2,0,0,2,0,2,0.32681327957993733,0,1,0,1,10238,1.2537887266632812,0,3,0,2,0
362280,2,1,0,1,0,3,0.8637734249326752,0,1,0,0,10238,0.49611162648580914,0,0,0,0,1
883018,2,1,0,0,0,3,-0.08020203544035544,1,1,0,1,10238,0.49611162648580914,0,0,0,0,0
889355,1,0,0,1,2,2,1.6214026475180199,1,1,1,1,10238,1.2537887266632812,0,2,0,0,0
198273,3,1,0,2,2,2,1.3413580274695223,1,0,1,1,32765,-1.0192425738691353,0,8,0,2,0
197763,2,1,0,2,2,2,-0.281236963020998,0,0,1,0,10238,0.8749501765745452,0,1,0,2,0
55670,1,1,0,1,2,2,-0.0030433877364575575,1,0,1,1,10238,-0.26156547369166305,0,3,1,0,0
545941,2,0,0,2,1,3,-0.5823901747113205,1,0,1,1,10238,-0.26156547369166305,0,1,0,2,0
814196,0,0,0,0,1,0,0.9072364636200522,1,1,0,1,32765,0.002486210617670396,0,0,0,0,1
560160,0,0,0,0,0,1,-0.4522040320205847,0,1,0,0,10238,0.002486210617670396,0,0,0,0,0
320444,1,1,0,0,1,1,-1.5979128439160826,0,1,0,1,10238,0.8749501765745452,0,0,0,0,0
305793,0,1,0,0,0,1,-2.081490900209189,0,1,1,1,10238,-0.26156547369166305,0,0,0,0,1
362190,0,1,0,0,0,1,-1.6210278579360355,0,1,0,0,10238,0.8749501765745452,0,0,0,0,1
62647,1,1,0,1,0,2,1.7537850752565334,1,1,0,0,10238,0.49611162648580914,0,2,0,1,0
296948,2,1,0,1,2,2,1.1875572013601257,1,0,1,1,10238,0.8749501765745452,0,0,0,0,0
673660,3,0,0,3,0,2,1.2843766235092915,0,0,1,1,10238,-0.6404040237803992,0,4,1,3,0
945867,0,1,0,0,2,0,2.4051974357056425,1,1,0,0,10238,0.49611162648580914,0,0,0,0,1
391880,3,1,0,3,1,0,-0.0030433877364575575,1,1,1,1,32765,-0.6404040237803992,0,12,2,2,0
241973,3,0,0,3,0,2,0.8709414297359065,1,1,1,0,10238,-0.26156547369166305,0,2,0,2,0
429503,0,1,0,0,0,1,-1.7897987573667202,0,1,0,1,10238,1.2537887266632812,0,0,0,0,1
810013,0,1,0,0,2,3,-0.45082526043035626,1,0,0,0,10238,0.8749501765745452,1,0,0,0,1
663458,0,0,0,0,0,1,-1.6261002829701237,0,1,0,0,10238,1.2537887266632812,0,0,0,0,1
879976,0,1,0,0,0,3,0.27357839529308897,0,1,1,1,32765,-0.6404040237803992,0,0,0,0,1
418841,0,1,1,0,1,1,-1.520645635306923,1,1,1,0,32765,-1.0192425738691353,0,0,0,0,1
542236,1,1,1,1,1,3,-0.6102206608604483,1,1,0,0,10238,0.11727307639707303,0,3,0,0,0
937573,2,1,0,1,2,2,0.8698319856793344,1,1,1,1,32765,-1.7769196740466076,0,5,0,1,0
670850,0,1,0,0,2,3,-0.8518346345785762,1,1,0,0,10238,2.0114658268407535,0,0,0,0,1
151252,0,1,0,0,2,0,0.8263520947746251,1,1,1,0,10238,-0.26156547369166305,0,0,0,0,0
706349,3,1,0,1,2,2,1.6230545497462268,1,1,1,1,10238,-0.6404040237803992,0,1,1,2,0
602998,3,1,0,2,1,3,-0.6880981137415694,1,1,1,0,10238,0.8749501765745452,0,3,1,7,0
242772,1,0,0,1,1,0,-0.09661083698439205,1,1,0,1,10238,-0.6404040237803992,0,1,2,0,0
393449,1,0,0,1,0,0,-0.0030433877364575575,0,1,0,0,10238,0.11727307639707303,0,2,0,0,0
380740,3,1,0,3,2,2,1.618489377223717,1,0,1,1,10238,-1.7769196740466076,0,2,0,3,0
938115,0,0,0,0,1,1,-2.091846214378528,0,1,0,1,32765,0.002486210617670396,0,0,0,0,1
727943,0,1,0,0,2,0,0.4585486791751257,1,1,0,0,10238,-0.26156547369166305,0,0,0,0,1
766309,0,1,0,0,0,1,-0.0030433877364575575,0,1,0,0,10238,-0.6404040237803992,1,0,0,0,1
261229,0,1,0,0,2,3,-0.36596149720981036,1,0,0,1,32765,-1.0192425738691353,0,0,0,0,1
60866,3,1,0,2,2,2,1.392485314485511,0,0,0,1,10238,0.49611162648580914,0,3,0,2,0
752797,2,0,0,2,0,3,0.2056292387929101,1,1,0,0,10238,1.2537887266632812,0,1,1,0,0
45002,3,1,0,3,0,2,1.20135082208228,1,1,1,1,10238,-1.0192425738691353,0,4,1,2,0
482448,0,1,0,0,1,1,-0.9992888186381643,0,1,0,0,32765,-1.3980811239578714,0,0,0,0,1
549142,0,1,0,0,2,0,0.27014132051495343,1,1,1,1,10238,0.11727307639707303,0,0,0,0,1
95138,2,1,0,2,0,0,0.6339705459873539,0,0,1,0,10238,0.8749501765745452,0,4,1,4,0
851152,1,0,0,1,1,3,-0.0030433877364575575,0,1,1,1,10238,0.002486210617670396,0,0,0,1,0
615991,2,0,0,2,0,2,0.5097535372015514,1,0,1,1,10238,-0.26156547369166305,0,2,0,1,0
424820,1,0,1,1,0,0,0.18457062640870353,1,1,1,1,10238,0.002486210617670396,0,0,0,1,0
807847,3,1,0,2,2,2,0.8992403290012524,1,0,0,1,10238,0.8749501765745452,0,3,1,4,0
758983,2,1,0,2,0,0,0.277122380414807,1,0,1,0,32765,0.11727307639707303,0,6,0,3,0
987114,1,0,0,0,2,0,-1.4590872799788104,0,1,0,0,10238,1.6326272767520174,0,0,0,0,1
873457,2,1,1,2,0,0,0.5533317776158205,1,1,1,1,10238,0.49611162648580914,0,7,1,1,0
699703,3,0,0,0,2,2,1.4324513679537816,0,1,1,1,92101,-0.6404040237803992,0,0,0,0,1
563342,3,0,0,0,2,2,1.6197637790056396,1,1,0,1,10238,0.49611162648580914,0,0,0,0,0
504412,1,1,0,1,2,3,-0.0030433877364575575,0,1,1,1,10238,0.11727307639707303,0,3,2,3,1
284106,3,1,0,3,2,2,1.6642353255132016,1,1,1,1,10238,0.11727307639707303,0,5,1,5,0
78189,0,0,0,0,1,1,-2.424472893530963,1,1,0,0,32765,0.11727307639707303,0,0,0,0,1
427520,1,1,0,1,2,0,-0.4006918308144598,0,1,0,0,10238,1.6326272767520174,0,0,1,0,0
689030,2,0,0,2,2,2,1.0913494092294351,1,0,1,0,92101,0.49611162648580914,0,1,0,1,0
966467,3,1,0,3,2,2,0.6467435105115473,1,1,1,1,10238,0.49611162648580914,0,5,2,4,0
288712,3,1,0,3,2,2,1.1560812857458371,1,0,1,1,10238,0.11727307639707303,0,3,0,7,0
228114,1,1,0,0,0,3,-0.8704093040344016,1,1,1,1,10238,-0.6404040237803992,0,0,0,0,0
63715,3,1,0,2,2,2,-0.7642629379027877,1,1,0,1,10238,0.49611162648580914,0,5,1,5,0
624077,3,0,0,3,1,2,0.6056604298738337,1,1,1,1,32765,-1.3980811239578714,1,10,0,1,0
726352,1,1,1,1,1,1,-1.0453272903182367,0,1,1,1,10238,1.6326272767520174,0,1,0,1,0
150072,0,0,0,0,1,1,-0.0030433877364575575,0,1,0,0,21217,0.8749501765745452,0,0,0,0,1
792396,3,0,0,3,2,2,1.265721657741552,1,1,1,1,10238,0.11727307639707303,0,1,2,2,0
768933,2,1,1,0,0,3,-1.233758275956479,1,1,0,1,10238,1.6326272767520174,0,0,0,0,1
452356,2,0,0,1,1,0,-0.0030433877364575575,1,1,0,1,32765,-0.6404040237803992,0,2,0,0,0
849811,3,0,1,3,0,2,0.5513985380508338,1,0,1,0,32765,0.002486210617670396,1,3,0,1,0
579336,3,0,0,1,2,2,0.44020482889704093,1,0,1,1,10238,-0.6404040237803992,0,0,0,2,0
648922,0,1,0,0,2,0,-1.6921646625403588,1,1,0,0,10238,0.49611162648580914,0,0,0,0,1
47909,3,1,0,1,2,2,-0.6674558027060481,1,1,1,1,10238,-0.6404040237803992,0,1,0,4,0
619577,3,0,0,3,2,2,1.3269338304946046,1,0,0,1,92101,-0.26156547369166305,0,2,0,0,0
212678,3,0,0,2,2,2,1.415072797903226,1,0,0,1,32765,0.49611162648580914,0,1,0,1,0
579720,1,1,0,1,2,3,-0.5128763025344624,0,1,0,1,10238,0.002486210617670396,1,0,0,1,1
995884,2,0,0,2,2,2,1.3383035957969573,1,0,1,0,10238,-0.26156547369166305,0,2,1,1,0
226326,2,0,1,1,2,3,-0.15534414018102366,1,0,0,0,10238,0.49611162648580914,0,0,0,1,0
943922,1,1,0,1,2,2,1.0788624473886204,0,0,1,1,32765,-2.1557582241353437,0,8,0,0,0
510116,2,1,0,0,0,0,-0.13743141873932846,1,0,0,1,10238,0.11727307639707303,0,0,0,0,0
536546,0,0,0,0,2,0,0.23230050948982536,1,1,1,1,10238,0.11727307639707303,0,0,0,0,0
75592,2,0,0,1,0,3,-1.54237628855904,1,1,0,1,10238,-0.26156547369166305,0,0,0,1,0
487116,1,1,0,1,1,3,0.10667314949045019,1,1,0,0,10238,0.002486210617670396,0,1,0,2,1
936820,1,0,0,1,0,3,-1.2192179303278832,1,1,0,1,32765,0.11727307639707303,0,1,0,0,1
634050,3,1,0,1,2,2,1.205198570538535,1,0,1,1,10238,-1.0192425738691353,0,1,0,2,0
307397,2,1,0,2,2,2,1.738274645479158,1,0,0,1,10238,0.002486210617670396,0,2,0,2,0
558748,3,0,0,3,2,2,0.8194677599814727,1,0,1,1,10238,-0.26156547369166305,0,1,0,0,0
856630,0,0,0,0,0,0,-0.2776686426507698,0,0,0,0,32765,0.8749501765745452,0,0,0,0,1
200009,3,1,0,3,2,2,1.2516932761626822,1,0,1,1,10238,-0.26156547369166305,0,5,1,3,0
784462,3,1,0,3,2,2,-0.0030433877364575575,1,1,1,1,32765,-0.6404040237803992,0,13,1,6,0
792252,2,0,0,2,2,2,-0.007401572858227708,1,0,0,1,10238,0.11727307639707303,0,2,0,1,0
462586,1,1,0,1,1,3,-0.20237694657387684,1,1,0,1,10238,0.49611162648580914,0,3,0,1,0
577965,3,1,0,3,0,0,-0.7255936429268715,1,1,0,1,10238,-0.26156547369166305,0,4,0,6,0
818248,2,1,0,2,2,2,0.5246337987515254,1,1,0,0,10238,0.002486210617670396,0,1,0,2,0
491438,0,1,0,0,1,1,-0.0030433877364575575,0,1,0,0,10238,-1.0192425738691353,0,0,0,0,1
896587,3,0,0,3,0,2,0.3229470160105318,1,0,0,1,10238,0.8749501765745452,0,0,0,0,0
431538,0,1,0,0,0,1,-2.4793975186244523,0,1,1,0,10238,0.11727307639707303,1,0,0,0,1
164516,0,1,0,0,0,1,-1.660669361872053,0,1,0,0,10238,0.49611162648580914,0,0,0,0,1
479577,2,0,0,2,2,2,1.161583269103599,1,0,1,1,10238,-1.7769196740466076,0,4,0,0,0
395233,2,1,0,0,0,2,0.7457185537468868,1,1,1,0,10238,0.002486210617670396,0,0,0,0,1
221838,2,1,0,1,2,2,-0.0030433877364575575,1,0,1,0,10238,-0.26156547369166305,0,3,0,2,0
938476,1,1,1,1,0,0,0.6087556409868797,1,1,1,1,32765,-1.3980811239578714,0,1,0,1,0
112454,1,1,0,0,1,1,-1.2931504631277255,0,1,1,1,32765,-1.7769196740466076,0,0,0,0,1
91246,1,1,0,1,0,3,-1.2284523988262732,1,0,1,1,10238,-1.3980811239578714,0,3,0,1,0
2743,1,0,0,1,1,3,-1.289891348996399,0,1,1,0,21217,0.11727307639707303,0,0,0,0,1
248888,2,1,0,0,0,0,0.3330438422633942,1,1,0,1,32765,0.11727307639707303,0,0,0,0,1
195523,0,1,0,0,0,1,-0.013275421293115793,0,1,0,0,10238,0.11727307639707303,0,0,0,0,1
981926,2,0,0,2,2,2,0.3574477622121206,1,0,0,1,10238,0.49611162648580914,0,2,1,0,0
593426,2,1,0,2,2,0,0.42739885281143924,1,1,0,1,32765,1.2537887266632812,0,2,2,1,0
235574,3,0,0,3,2,2,1.0377681806970993,1,0,1,1,10238,0.11727307639707303,0,5,0,2,0
440993,0,1,0,0,2,3,-1.1199396241664694,1,1,0,0,10238,0.11727307639707303,0,0,0,0,1
446993,0,1,0,0,0,1,-1.6248882474799384,1,1,0,0,10238,0.8749501765745452,0,0,0,0,0
82684,1,1,0,1,2,2,0.4481065017951122,1,1,0,0,32765,0.002486210617670396,0,2,0,5,1
301242,1,0,0,1,2,0,-0.5095971874617791,1,1,0,1,10238,0.49611162648580914,0,1,0,1,0
784122,1,1,0,1,2,2,0.9256861310416907,1,1,1,1,10238,0.002486210617670396,0,0,1,4,0
884967,3,1,0,3,2,2,-0.4506480311497625,0,1,1,1,10238,0.002486210617670396,0,4,0,8,0
7722,1,0,1,0,0,1,-1.3892936717722555,0,1,0,1,10238,1.2537887266632812,0,0,0,0,1
278557,1,0,0,1,1,1,-1.5205747389755306,0,1,0,1,32765,0.002486210617670396,1,1,2,0,0
123443,1,1,0,1,2,2,0.3205093108241786,1,0,1,1,10238,-0.6404040237803992,0,2,0,0,0
112143,0,0,0,0,1,3,-2.4926555406202184,0,1,0,1,32765,-0.26156547369166305,0,0,0,0,1
912138,1,1,0,1,2,3,-1.2578251900515067,0,1,1,1,32765,-0.26156547369166305,1,6,1,3,1
601305,3,0,0,0,2,2,1.011295541365833,0,0,1,1,10238,-0.26156547369166305,0,0,0,0,1
602274,0,0,0,0,0,0,-0.4540003059398119,1,0,0,0,92101,-0.6404040237803992,0,0,0,0,0
352099,1,1,0,1,1,0,-0.0920843806797748,1,1,0,1,10238,0.49611162648580914,0,0,0,1,0
660400,0,1,0,0,0,1,-1.0873924110177116,1,1,0,1,10238,1.2537887266632812,0,0,0,0,1
267614,0,0,0,0,2,2,1.109424763421772,1,1,0,1,10238,-0.26156547369166305,1,0,0,0,0
974380,2,0,0,2,0,2,-0.7643950226413804,1,1,0,1,32765,0.11727307639707303,0,3,0,0,0
346585,1,0,0,1,0,2,0.9151770836937677,1,1,1,0,10238,2.0114658268407535,0,0,1,0,0
536135,1,1,0,1,0,0,-0.8566937162381887,1,1,1,1,92101,-0.26156547369166305,0,2,0,0,0
75569,2,0,0,2,0,2,-0.1584349707953656,0,0,1,0,10238,-0.26156547369166305,0,2,0,0,0
415320,0,1,0,0,1,1,-0.9548585827739134,0,1,1,0,10238,0.002486210617670396,0,0,0,0,1
645135,2,0,0,1,0,2,-0.009723914647261411,1,0,1,1,10238,-0.26156547369166305,0,0,0,2,0
421596,3,1,0,3,2,2,-0.0999707410788622,1,0,1,1,10238,-1.0192425738691353,0,6,2,10,0
164636,1,0,0,1,2,2,1.5229798858573829,1,1,1,1,21217,-0.26156547369166305,0,0,0,0,1
405100,1,1,0,1,0,3,-1.1482979796558723,0,1,1,0,10238,0.8749501765745452,0,1,0,1,1
315223,2,0,0,2,0,0,0.4864338022298778,1,1,0,0,92101,0.49611162648580914,0,2,0,0,0
628723,2,0,0,2,0,0,0.3253586306694567,1,1,0,1,10238,-0.6404040237803992,0,1,0,4,0
483693,0,0,0,0,0,3,-1.7262588384132287,0,1,0,1,32765,0.11727307639707303,0,0,0,0,1
416795,2,0,0,2,0,0,1.1191905887224989,1,1,0,1,32765,0.11727307639707303,0,5,0,0,0
712973,0,0,0,0,1,1,-1.0576255904697145,0,1,0,0,10238,2.0114658268407535,0,0,0,0,1
755061,0,0,1,0,0,1,-1.0942591083371727,1,1,0,0,10238,1.2537887266632812,0,0,0,0,1
625426,2,1,0,2,2,2,-0.0030433877364575575,1,1,0,0,10238,0.49611162648580914,0,3,1,2,0
162614,3,1,0,3,2,2,-0.437507520458413,1,1,1,1,10238,0.49611162648580914,0,1,0,5,0
732843,2,1,0,2,2,0,-0.0030433877364575575,1,1,0,0,10238,1.2537887266632812,0,2,0,5,0
466761,2,0,0,0,2,2,-0.39076083222781455,1,0,1,1,10238,-0.26156547369166305,0,0,0,0,0
498232,0,1,1,0,0,0,-0.8277635863397809,1,1,0,1,32765,-1.0192425738691353,0,0,0,0,1
170391,3,0,0,2,0,2,0.5588716611407498,1,1,1,1,10238,-0.26156547369166305,0,2,0,2,0
918640,2,1,0,2,0,2,0.7607482911542096,1,1,1,1,32765,-1.7769196740466076,0,3,1,0,0
937134,3,0,0,3,0,2,-0.0030433877364575575,1,1,1,1,32765,-1.3980811239578714,0,2,0,0,0
273764,2,0,0,2,2,2,0.23289769695018522,1,0,1,1,10238,-1.3980811239578714,0,1,0,1,0
418555,1,0,1,1,1,3,-0.0030433877364575575,1,1,0,0,10238,1.6326272767520174,0,1,0,1,0
344228,3,1,0,0,2,2,1.7074452037095902,1,0,1,0,10238,2.0114658268407535,0,0,0,0,0
809278,2,0,0,1,1,3,-0.6839025737045789,1,1,0,1,32765,-0.6404040237803992,0,3,0,0,0
68145,0,0,0,0,0,1,-0.7946200479729393,0,1,0,0,10238,0.002486210617670396,0,0,0,0,1
128369,2,1,0,2,2,2,1.378933799076597,0,1,1,1,32765,-1.7769196740466076,0,3,1,1,0
194925,0,0,0,0,0,1,-1.7319807782357761,0,1,0,1,10238,0.49611162648580914,0,0,0,0,1
303507,0,0,0,0,0,1,-2.094593302871394,0,1,1,1,10238,-0.26156547369166305,0,0,0,0,1
